idx,lat,lon
3,51.5162301,-0.1019241
4,51.5142176,-0.0947411
5,51.513823,-0.0923294
6,51.5133168,-0.0793061
7,51.5134483,-0.0803432
8,51.514391,-0.0836599
9,51.5134164,-0.0841383
10,51.5107017,-0.0843638
11,51.5107226,-0.0853116
12,51.5102964,-0.0868015
13,51.5112536,-0.0883728
14,51.5116996,-0.090727
15,51.5119738,-0.0919543
16,51.512704,-0.0951139
17,51.511846,-0.0971951
18,51.5121749,-0.101735
19,51.5120298,-0.103268
20,51.5137936,-0.1010095
21,51.5139969,-0.1025526
22,51.5141465,-0.1035472
23,51.5141251,-0.1094354
24,51.5189053,-0.1011765
25,51.5193628,-0.0997575
26,51.5215929,-0.0974051
27,51.5153809,-0.1021972
28,51.511055,-0.0967922
29,51.5108769,-0.0951001
30,51.5118975,-0.085135
31,51.5110758,-0.0950391
32,51.5103381,-0.0902377
33,51.5157284,-0.0946076
34,51.5132143,-0.0948682
35,51.509706,-0.0848195
36,51.5209014,-0.0910944
37,51.5195083,-0.0901946
38,51.5163545,-0.0836129
39,51.5141693,-0.1043874
40,51.5228717,-0.0979386
41,51.5121453,-0.0878333
42,51.5117199,-0.0874862
43,51.5128673,-0.0884017
44,51.5116853,-0.0838564
45,51.5131178,-0.1010605
46,51.5137273,-0.1026089
47,51.5170935,-0.09684
48,51.5173248,-0.0967968
49,51.5207572,-0.0939227
50,51.5192653,-0.1030011
51,51.518545,-0.1023096
52,51.5147982,-0.0896922
53,51.5150918,-0.0921149
54,51.5141057,-0.086206
55,51.5185416,-0.1053244
56,51.5136522,-0.0911542
57,51.514937,-0.090554
58,51.5141924,-0.0915009
59,51.5141068,-0.0909306
60,51.513338,-0.0956974
61,51.5125211,-0.0944844
62,51.5127731,-0.0956783
63,51.5146712,-0.088446
64,51.517535,-0.093643
65,51.5177006,-0.0964719
66,51.5174539,-0.0964951
67,51.5169894,-0.0986118
68,51.5177128,-0.0972661
69,51.5178549,-0.0970681
70,51.5178498,-0.0967119
71,51.5108431,-0.0770399
72,51.5083892,-0.0813313
73,51.5101653,-0.0952272
74,51.5107023,-0.0969428
75,51.5108218,-0.096892
76,51.5109661,-0.095762
77,51.5110415,-0.0962606
78,51.5105425,-0.0964871
79,51.5152947,-0.0972222
80,51.5156561,-0.0986295
81,51.515321,-0.0984911
82,51.5156144,-0.099658
83,51.5146099,-0.0968625
84,51.5149025,-0.0903407
85,51.5172903,-0.0895725
86,51.512538,-0.1049831
87,51.5135657,-0.104267
88,51.5146498,-0.1044244
89,51.5152716,-0.1045624
90,51.5135166,-0.0814348
91,51.5141786,-0.1050131
92,51.5176692,-0.1090055
93,51.5142275,-0.101149
94,51.5151763,-0.1007326
95,51.5154031,-0.1038762
96,51.5153439,-0.0894512
97,51.5162961,-0.0890898
98,51.5154069,-0.0900868
99,51.5185902,-0.100525
100,51.5128571,-0.0900394
101,51.5120874,-0.0871148
102,51.5103278,-0.0852995
103,51.5099392,-0.0853913
104,51.509361,-0.0838044
105,51.5140242,-0.0903239
106,51.5118174,-0.0884195
107,51.5116616,-0.0867522
108,51.5124618,-0.0880893
109,51.5126829,-0.0872556
110,51.5120163,-0.0877335
111,51.5124941,-0.0868042
112,51.5122792,-0.0863367
113,51.5115425,-0.0873569
114,51.5112826,-0.087128
115,51.5141737,-0.0944635
116,51.5146955,-0.0946151
117,51.5095763,-0.080304
